params,acc
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.6225961538461539
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.3413461538461538
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.6081730769230769
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.3269230769230769
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.6778846153846154
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.3605769230769231
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.65625
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.3389423076923077
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.6322115384615384
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.3653846153846153
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.6754807692307693
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.4206730769230769
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.6778846153846154
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.4519230769230769
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.6634615384615384
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.4471153846153846
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.6971153846153846
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.4519230769230769
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.6971153846153846
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.4158653846153846
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.6947115384615384
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.4326923076923077
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.7091346153846154
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.4254807692307692
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'ridge'}",0.5336538461538461
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'ridge'}",0.2788461538461538
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'ridge'}",0.5336538461538461
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'ridge'}",0.3100961538461538
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'ridge'}",0.4447115384615384
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'ridge'}",0.2644230769230769
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'ridge'}",0.4302884615384615
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'ridge'}",0.2716346153846153
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'ridge'}",0.3269230769230769
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'ridge'}",0.2379807692307692
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'ridge'}",0.3245192307692308
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'ridge'}",0.2091346153846154
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.5600961538461539
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.3221153846153846
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.5576923076923077
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.2644230769230769
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.6298076923076923
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.2908653846153846
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.5745192307692307
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.3100961538461538
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.6778846153846154
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.3221153846153846
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.6370192307692307
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.3701923076923077
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.6514423076923077
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.4110576923076923
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.6875
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'log-regr'}",0.3990384615384615
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.7091346153846154
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.4495192307692308
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.6899038461538461
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.4038461538461538
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.7091346153846154
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.4182692307692308
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.7091346153846154
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.4447115384615384
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.7043269230769231
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.4927884615384615
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.6947115384615384
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'svm'}",0.4567307692307692
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-log-reg'}",0.6706730769230769
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-log-reg'}",0.4230769230769231
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-log-reg'}",0.6706730769230769
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-log-reg'}",0.4375
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-log-reg'}",0.6826923076923077
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-log-reg'}",0.4519230769230769
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-log-reg'}",0.6923076923076923
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-log-reg'}",0.4350961538461538
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-log-reg'}",0.6802884615384616
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-log-reg'}",0.4350961538461538
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-log-reg'}",0.6971153846153846
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-log-reg'}",0.4735576923076923
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-ridge'}",0.5264423076923077
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-ridge'}",0.3004807692307692
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-ridge'}",0.5240384615384616
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 512, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-ridge'}",0.2740384615384615
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-ridge'}",0.46875
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-ridge'}",0.2548076923076923
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-ridge'}",0.4783653846153846
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-ridge'}",0.2980769230769231
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-ridge'}",0.4254807692307692
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-ridge'}",0.2427884615384615
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-ridge'}",0.4110576923076923
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_cumulative_bovw': False, 'predict_method': 'cv-ridge'}",0.2860576923076923
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 256, 'mapping_num_features': 512, 'mapping_dropout': False, 'mapping_dropout_rate': 0.1, 'predict_method': 'log-reg'}",0.5576923076923077
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': False, 'mapping_dropout_rate': 0.1, 'predict_method': 'log-reg'}",0.6538461538461539
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': False, 'mapping_dropout_rate': 0.1, 'predict_method': 'log-reg'}",0.3245192307692308
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': False, 'mapping_dropout_rate': 0.1, 'predict_method': 'log-reg'}",0.65625
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': False, 'mapping_dropout_rate': 0.1, 'predict_method': 'log-reg'}",0.36778846153846156
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': True, 'mapping_dropout_rate': 0.1, 'predict_method': 'log-reg'}",0.6322115384615384
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': True, 'mapping_dropout_rate': 0.1, 'predict_method': 'log-reg'}",0.31971153846153844
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': True, 'mapping_dropout_rate': 0.1, 'predict_method': 'log-reg'}",0.6971153846153846
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': True, 'mapping_dropout_rate': 0.1, 'predict_method': 'log-reg'}",0.37740384615384615
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': False, 'mapping_dropout_rate': 0.2, 'predict_method': 'log-reg'}",0.6658653846153846
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': False, 'mapping_dropout_rate': 0.2, 'predict_method': 'log-reg'}",0.33413461538461536
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': False, 'mapping_dropout_rate': 0.2, 'predict_method': 'log-reg'}",0.6995192307692307
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': False, 'mapping_dropout_rate': 0.2, 'predict_method': 'log-reg'}",0.3605769230769231
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': True, 'mapping_dropout_rate': 0.2, 'predict_method': 'log-reg'}",0.65625
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': True, 'mapping_dropout_rate': 0.2, 'predict_method': 'log-reg'}",0.3581730769230769
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': True, 'mapping_dropout_rate': 0.2, 'predict_method': 'log-reg'}",0.6538461538461539
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': True, 'mapping_dropout_rate': 0.2, 'predict_method': 'log-reg'}",0.3918269230769231
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': False, 'mapping_dropout_rate': 0.3, 'predict_method': 'log-reg'}",0.6658653846153846
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': False, 'mapping_dropout_rate': 0.3, 'predict_method': 'log-reg'}",0.3269230769230769
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': False, 'mapping_dropout_rate': 0.3, 'predict_method': 'log-reg'}",0.6923076923076923
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': False, 'mapping_dropout_rate': 0.3, 'predict_method': 'log-reg'}",0.4182692307692308
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': True, 'mapping_dropout_rate': 0.3, 'predict_method': 'log-reg'}",0.6875
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': True, 'mapping_dropout_rate': 0.3, 'predict_method': 'log-reg'}",0.3076923076923077
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': True, 'mapping_dropout_rate': 0.3, 'predict_method': 'log-reg'}",0.6850961538461539
